Organization,A-content,G-content,C-content,T-content
Non-Nested,0.2054794520547945,0.3561643835616438,0.2328767123287671,0.2054794520547945
Nested,0.16666666666666666,0.3194444444444444,0.2777777777777778,0.2361111111111111
Nested,0.16666666666666666,0.3194444444444444,0.2777777777777778,0.2361111111111111
Non-Nested,0.19444444444444445,0.2916666666666667,0.25,0.2638888888888889
Non-Nested,0.19444444444444445,0.2916666666666667,0.25,0.2638888888888889
Non-Nested,0.19444444444444445,0.2916666666666667,0.25,0.2638888888888889
Nested,0.19444444444444445,0.2777777777777778,0.2638888888888889,0.2638888888888889
Nested,0.19444444444444445,0.2777777777777778,0.2638888888888889,0.2638888888888889
Nested,0.19444444444444445,0.2777777777777778,0.2638888888888889,0.2638888888888889
Nested,0.19444444444444445,0.2777777777777778,0.2638888888888889,0.2638888888888889
Nested,0.19444444444444445,0.2777777777777778,0.2638888888888889,0.2638888888888889
Nested,0.2465753424657534,0.3013698630136986,0.2328767123287671,0.2191780821917808
Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.29577464788732394,0.2112676056338028
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.1267605633802817,0.3661971830985916,0.30985915492957744,0.19718309859154928
Non-Nested,0.16666666666666666,0.3194444444444444,0.2777777777777778,0.2361111111111111
Non-Nested,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.2222222222222222
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1891891891891892,0.3108108108108108,0.2702702702702703,0.2297297297297297
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Non-Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Non-Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Non-Nested,0.1643835616438356,0.3424657534246575,0.273972602739726,0.2191780821917808
Nested,0.1780821917808219,0.3287671232876712,0.2602739726027397,0.2328767123287671
Non-Nested,0.1917808219178082,0.3150684931506849,0.2465753424657534,0.2465753424657534
Non-Nested,0.19444444444444445,0.3055555555555556,0.25,0.25
Non-Nested,0.1686746987951807,0.3253012048192771,0.2530120481927711,0.2530120481927711
Nested,0.225,0.275,0.2416666666666667,0.25833333333333336
Nested,0.225,0.2916666666666667,0.20833333333333331,0.275
Non-Nested,0.1780821917808219,0.3287671232876712,0.273972602739726,0.2191780821917808
Nested,0.1780821917808219,0.3287671232876712,0.273972602739726,0.2191780821917808
Non-Nested,0.1780821917808219,0.3287671232876712,0.273972602739726,0.2191780821917808
Nested,0.2361111111111111,0.3333333333333333,0.25,0.18055555555555555
Nested,0.2361111111111111,0.3333333333333333,0.2638888888888889,0.16666666666666666
Nested,0.2361111111111111,0.3333333333333333,0.2638888888888889,0.16666666666666666
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Nested,0.13513513513513514,0.3783783783783784,0.25675675675675674,0.2297297297297297
Non-Nested,0.1527777777777778,0.3472222222222222,0.2361111111111111,0.2638888888888889
Non-Nested,0.1527777777777778,0.3472222222222222,0.2361111111111111,0.2638888888888889
Non-Nested,0.1917808219178082,0.3424657534246575,0.2465753424657534,0.2191780821917808
Non-Nested,0.1917808219178082,0.3424657534246575,0.2465753424657534,0.2191780821917808
Non-Nested,0.1917808219178082,0.3424657534246575,0.2465753424657534,0.2191780821917808
Non-Nested,0.1917808219178082,0.3424657534246575,0.2465753424657534,0.2191780821917808
Non-Nested,0.1917808219178082,0.3424657534246575,0.2328767123287671,0.2328767123287671
Non-Nested,0.2054794520547945,0.3287671232876712,0.2328767123287671,0.2328767123287671
Nested,0.1917808219178082,0.3424657534246575,0.2328767123287671,0.2328767123287671
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Non-Nested,0.2191780821917808,0.3150684931506849,0.2465753424657534,0.2191780821917808
Nested,0.2191780821917808,0.3287671232876712,0.2328767123287671,0.2191780821917808
Nested,0.1917808219178082,0.3424657534246575,0.2328767123287671,0.2328767123287671
